Type_of_Institution,Private Institution,Public Institution,Teacher (Private),Teacher (Public),Female Teacher (Private),Female Teacher (Public),Female Teacher % (Private),Female Teacher % (Public),Student (Private),Student (Public),Female Student (Private),Female Student (Public),Female Student % (Private),Female Student % (Public),TSR (Private),TSR (Public),SPI (Private),SPI (Public),TPI (Private),TPI (Public)
Secondary Education,18176,615,213028,12556,59097,3916,27.74,31.19,8473466,543307,4704885,260573,55.52,47.96,40,43,466,883,12,20
English Medium School,142,,7734,,5229,,67.61,,27370,,11552,,42.21,,4,,193,,54,
School & College,1324,64,43529,2266,14533,738,33.39,32.57,1453851,95451,779547,42497,53.62,44.52,33,42,1098,1491,33,35
College Education,2704,607,83366,26401,22063,7005,26.47,26.53,1857475,2361262,966044,1154591,52.01,48.9,22,89,687,3890,31,43
Madrasah Education,9302,3,112611,80,19084,6,16.95,7.5,2548861,4578,1410173,524,55.33,11.45,23,57,274,1526,12,27
Technical-Vocational,1903,571,27838,9644,5643,1514,20.27,15.7,432032,286887,120562,56736,27.91,19.78,16,30,227,502,15,17
Professional Education,616,125,7542,8261,3253,3905,43.13,47.27,138854,40074,72557,29245,52.25,72.98,18,5,225,321,12,66
Teacher Education,129,94,1678,1454,573,372,34.15,25.58,11943,20250,4818,9972,40.34,49.24,7,14,93,215,13,15
University Education,105,46,16070,15524,4870,4057,30.3,26.13,349160,820430,101213,310622,28.99,37.86,22,53,3325,17835,153,337
Total Post-primary,34403,2125,513554,76186,134345,21513,26.16,28.24,15296323,4172239,8172305,1864760,53.43,44.69,30,55,445,1963,15,36
